id,title,seller_id,price,category,length,width,height,image,created_at,updated_at
1,FireBrick Happy Guarantee No. 74,67,90783,Boy Clothing and Accessories,97,83,75,begin.jpeg,2003-11-19 21:57:46.000000,2020-04-10 14:03:18.000000
2,Born in British Indian Ocean Territory (Chagos Archipelago): Lonely Friend No. 778,73,524410,Girl Clothing and Accessories,85,54,108,should.tiff,1970-08-01 05:52:55.000000,1980-03-08 05:34:07.000000
3,Trujillo-Diaz's Legal Priority Version 323,35,368241,Male Accessories,130,28,142,citizen.jpeg,1981-04-08 03:24:45.000000,2006-03-30 07:01:33.000000
4,Made in Netherlands Antilles: Clean Assist Edition 294,73,609991,Bed,63,47,13,wide.png,2003-09-04 20:15:24.000000,2011-11-29 12:23:36.000000
5,Ind. Scott's Acceptable Satisfaction Gen. 31,11,539567,Lamps,122,31,115,management.jpg,1976-08-21 10:20:51.000000,2006-11-13 15:34:42.000000
6,Mrs. Wilson's Sexual Muscle Variance 23,16,175081,Bed,46,88,86,imagine.jpg,2018-06-03 09:14:31.000000,2021-08-11 01:21:44.000000
7,Weiss-Brown's Enough Project Version 512,38,494448,Ball Sports,111,37,14,soldier.png,1976-02-27 15:01:33.000000,1992-06-24 19:58:04.000000
8,Green Southern Shoulder Variance 767,57,248898,Phone,104,37,39,theory.tiff,1974-12-21 11:24:31.000000,2012-06-30 20:03:00.000000
9,Mrs. Gonzalez's Spare Sister MK 293,71,862898,Phone Accessories,82,18,122,where.bmp,1975-01-27 17:16:28.000000,1988-04-25 20:53:32.000000
10,LightGreen Last Dish Version 635,64,661529,Refridgerator,73,14,121,probably.gif,2018-08-21 15:12:22.000000,2020-11-25 16:51:50.000000
11,RoyalBlue Calm Driver Prototype #857,73,341087,Bed,15,29,48,president.png,2009-12-16 22:22:52.000000,2017-10-27 19:33:10.000000
12,Born in Comoros: United Notice Gen. 94,41,510124,Bed,72,16,17,little.jpg,1976-10-07 06:18:33.000000,2003-11-19 20:18:51.000000
13,Made in American Samoa: Free Bug No. 317,23,871783,Girl Clothing and Accessories,103,40,82,try.gif,1976-10-02 17:34:25.000000,1980-03-07 03:46:45.000000
14,Misc. Moore's Late Gold Gen. 506,55,33210,Cooker and Oven,52,19,112,later.jpeg,2002-10-09 10:17:33.000000,2013-06-21 04:27:24.000000
15,Made in Tajikistan: Remarkable War Variance 610,50,613822,Computer Accessories,34,58,120,follow.png,1987-06-14 22:02:02.000000,1999-02-18 03:50:15.000000
16,Made in Falkland Islands (Malvinas): Weird Brick Edition 200,82,995134,Racket Sports,96,66,43,fear.png,1993-09-03 23:10:14.000000,2001-02-09 11:53:04.000000
17,DarkBlue Hard Fortune MK 685,11,191045,Ball Sports,92,80,130,room.png,2020-05-22 16:20:36.000000,2022-04-22 22:15:27.000000
18,Calhoun PLC's Brilliant Cash Prototype #348,62,903323,Boy Clothing and Accessories,21,66,53,its.png,1980-02-23 23:40:56.000000,1981-05-26 19:46:12.000000
19,Mx. Rivera's Working Bicycle No. 958,55,154386,Cooker and Oven,48,25,150,exist.jpg,1977-08-20 01:06:55.000000,2011-06-07 09:03:09.000000
20,MediumSeaGreen Worth Task Edition 41,38,613028,Wall Decoration,28,33,52,recognize.tiff,1979-02-10 08:23:00.000000,2017-07-27 10:30:21.000000
21,Born in Palau: Main District Variance 937,51,648249,Female Accessories,91,80,107,glass.jpeg,1974-05-26 05:03:18.000000,1999-06-30 01:37:15.000000
22,Olive Cultural Delivery No. 329,73,858627,TV,112,35,149,under.bmp,1976-09-20 07:30:18.000000,2010-04-15 04:20:13.000000
23,Williams Ltd's Major Loan Prototype #872,26,132386,Phone Accessories,135,33,80,peace.gif,1994-02-08 23:55:27.000000,2008-03-13 13:44:25.000000
24,"Fields, Acosta and Smith's Past Bat No. 64",57,882407,Racket Sports,57,45,128,student.tiff,1983-03-29 23:53:32.000000,1984-11-12 06:41:05.000000
25,Wheat Easy Championship Prototype #991,8,55100,Phone,79,20,99,program.tiff,2013-09-25 12:21:01.000000,2023-08-10 07:40:23.000000
26,LightSkyBlue Wonderful Title Edition 554,99,351296,Male Sportswear,22,48,50,election.png,1974-06-11 00:05:03.000000,2020-04-09 19:16:31.000000
27,Wheat Representative Challenge Variance 447,95,426045,Lamps,141,54,72,pressure.jpg,1988-07-01 01:59:16.000000,2013-05-16 19:00:10.000000
28,Mr. Baird's Fresh Roof Variance 420,57,870534,Chairs and Sofas,117,80,66,lose.gif,1979-01-31 13:17:15.000000,2002-06-19 00:00:16.000000
29,Brown Neat Lesson MK 761,67,367772,Lamps,15,25,22,heart.jpg,1973-01-13 15:45:47.000000,1993-07-31 06:15:16.000000
30,DarkSeaGreen Unlikely Afternoon Gen. 934,51,361637,Phone Accessories,142,64,75,artist.jpeg,2001-05-04 05:32:01.000000,2021-09-21 18:47:03.000000
31,Miss Jacobs's Perfect Tone Gen. 784,74,640716,Floor Decoration,58,13,42,page.bmp,1999-09-05 15:37:35.000000,2009-10-15 20:38:09.000000
