insert into product (id, title, seller_id, price, description, category, length, width, height, image, remaining, created_at, updated_at) values (1, 'Williams and Sons''s Just Case Prototype #291', 5, 873487, 'Williams and Sons''s Just Case Prototype #291 is a luxury tv that cannot be found in your local stores! Mean later quality eye newspaper I reflect man. Personal charge night.', 'TV', 1.05, 2.81, 1.01, 'https://images.unsplash.com/photo-1691745034385-d5376238a97c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w0OTc0Mzd8MHwxfHJhbmRvbXx8fHx8fHx8fDE2OTM4MDI4MDd8&ixlib=rb-4.0.3&q=80&w=1080', 73, '1976-11-20 08:46:19', '1991-09-17 08:48:42');
insert into product (id, title, seller_id, price, description, category, length, width, height, image, remaining, created_at, updated_at) values (2, 'FireBrick Boring Boy Gen. 87', 66, 452212, 'FireBrick Boring Boy Gen. 87 is a luxury computer that cannot be found in your local stores! General ahead agree wonder film. Step notice music before mother beyond send. Offer popular compare leader couple senior. Knowledge happen increase.', 'Computer', 0.9, 4.57, 1.04, 'https://images.unsplash.com/photo-1505577058444-a3dab90d4253?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w0OTc0Mzd8MHwxfHJhbmRvbXx8fHx8fHx8fDE2OTM4MDI4MDd8&ixlib=rb-4.0.3&q=80&w=1080', 150, '1971-02-26 04:37:13', '1991-09-22 04:44:43');
insert into product (id, title, seller_id, price, description, category, length, width, height, image, remaining, created_at, updated_at) values (3, 'Gainsboro Administrative Hour No. 579', 62, 913424, 'Gainsboro Administrative Hour No. 579 is a luxury tv that cannot be found in your local stores! Avoid model phone people whatever. Hope away arm condition fire nature.', 'TV', 2.4, 1.79, 3.31, 'https://images.unsplash.com/photo-1692610845224-1995979c3001?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w0OTc0Mzd8MHwxfHJhbmRvbXx8fHx8fHx8fDE2OTM4MDI4MDh8&ixlib=rb-4.0.3&q=80&w=1080', 13, '1974-04-26 04:40:51', '2014-01-28 12:13:34');
insert into product (id, title, seller_id, price, description, category, length, width, height, image, remaining, created_at, updated_at) values (4, 'Lavender Administrative Beer Prototype #249', 62, 463982, 'Lavender Administrative Beer Prototype #249 is a luxury female sportswear that cannot be found in your local stores! Sport talk pretty rich. Newspaper entire opportunity building discussion type return financial. Far business peace power range color indicate.', 'Female Sportswear', 0.17, 1.7, 0.37, 'https://images.unsplash.com/photo-1691608153399-9c610a3dbfd0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w0OTc0Mzd8MHwxfHJhbmRvbXx8fHx8fHx8fDE2OTM4MDI4MDh8&ixlib=rb-4.0.3&q=80&w=1080', 38, '1986-08-07 12:47:35', '1997-12-31 07:23:57');
insert into product (id, title, seller_id, price, description, category, length, width, height, image, remaining, created_at, updated_at) values (5, 'Mrs. Fisher''s Objective Advice Version 304', 38, 547314, 'Mrs. Fisher''s Objective Advice Version 304 is a luxury female accessories that cannot be found in your local stores! Message save project fast key same art participant. Medical write far occur war bad write.', 'Female Accessories', 0.15, 2.98, 3.81, 'https://images.unsplash.com/photo-1690649063909-6f56fb0e1a74?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w0OTc0Mzd8MHwxfHJhbmRvbXx8fHx8fHx8fDE2OTM4MDI4MDh8&ixlib=rb-4.0.3&q=80&w=1080', 78, '1993-07-14 22:26:35', '2007-01-07 18:44:11');
insert into product (id, title, seller_id, price, description, category, length, width, height, image, remaining, created_at, updated_at) values (6, 'SandyBrown Last River Gen. 975', 38, 974622, 'SandyBrown Last River Gen. 975 is a luxury computer that cannot be found in your local stores! Raise game fill effort drive this. Kitchen leg office. Social available here capital picture behavior home.', 'Computer', 1.08, 1.64, 2.36, 'https://images.unsplash.com/photo-1690636108226-f9f17860bb77?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w0OTc0Mzd8MHwxfHJhbmRvbXx8fHx8fHx8fDE2OTM4MDI4MDl8&ixlib=rb-4.0.3&q=80&w=1080', 103, '1970-08-29 17:14:02', '2004-01-16 13:40:50');
insert into product (id, title, seller_id, price, description, category, length, width, height, image, remaining, created_at, updated_at) values (7, 'Beasley-Sheppard''s Primary Contribution Edition 649', 71, 790731, 'Beasley-Sheppard''s Primary Contribution Edition 649 is a luxury cooker and oven that cannot be found in your local stores! Office throw couple until buy entire if. Artist indeed success interview before hope able.', 'Cooker and Oven', 2.07, 2.84, 0.98, 'https://images.unsplash.com/photo-1692996757297-5faeb49aeb9c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w0OTc0Mzd8MHwxfHJhbmRvbXx8fHx8fHx8fDE2OTM4MDI4MTB8&ixlib=rb-4.0.3&q=80&w=1080', 83, '1996-06-18 11:25:54', '2011-04-06 09:34:38');
insert into product (id, title, seller_id, price, description, category, length, width, height, image, remaining, created_at, updated_at) values (8, 'Mr. Scott''s Special Switch Version 734', 94, 825129, 'Mr. Scott''s Special Switch Version 734 is a luxury ball sports that cannot be found in your local stores! Language protect sound behind sense. Hit thing economy company language fear. War common bank safe field agent design end.', 'Ball Sports', 3.01, 4.01, 3.91, 'https://images.unsplash.com/photo-1690921822670-5929218ab41d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w0OTc0Mzd8MHwxfHJhbmRvbXx8fHx8fHx8fDE2OTM4MDI4MTB8&ixlib=rb-4.0.3&q=80&w=1080', 105, '1971-07-21 05:35:18', '1994-07-18 06:49:20');
insert into product (id, title, seller_id, price, description, category, length, width, height, image, remaining, created_at, updated_at) values (9, 'Born in Chile: Confident Guitar Gen. 535', 84, 390654, 'Born in Chile: Confident Guitar Gen. 535 is a luxury phone accessories that cannot be found in your local stores! Billion heart interest thought economy. Occur civil why. Send parent early technology. Wife focus industry would really.', 'Phone Accessories', 3.92, 3.78, 3.89, 'https://images.unsplash.com/photo-1690718701767-4af5cdab195e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w0OTc0Mzd8MHwxfHJhbmRvbXx8fHx8fHx8fDE2OTM4MDI4MTB8&ixlib=rb-4.0.3&q=80&w=1080', 85, '1981-03-03 09:02:26', '1986-09-01 16:19:28');
insert into product (id, title, seller_id, price, description, category, length, width, height, image, remaining, created_at, updated_at) values (10, 'Snow Decent Comment Edition 722', 55, 372111, 'Snow Decent Comment Edition 722 is a luxury floor decoration that cannot be found in your local stores! Low agent pull night billion she some college. Prove fill six.', 'Floor Decor', 1.55, 1.83, 2.94, 'https://images.unsplash.com/photo-1691466291919-3e4379b7b6da?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w0OTc0Mzd8MHwxfHJhbmRvbXx8fHx8fHx8fDE2OTM4MDI4MTF8&ixlib=rb-4.0.3&q=80&w=1080', 43, '1995-09-20 02:27:04', '2009-06-14 15:29:05');
insert into product (id, title, seller_id, price, description, category, length, width, height, image, remaining, created_at, updated_at) values (11, 'Mx. Ramirez''s Soft Blank Version 556', 75, 86069, 'Mx. Ramirez''s Soft Blank Version 556 is a luxury refridgerator that cannot be found in your local stores! Fund trade star note. After you lose natural. Building bar perform real charge service figure. Hot worry situation others stay though system.', 'Refridgerator', 1.42, 2.41, 4.66, 'https://images.unsplash.com/photo-1691873220133-13959ae99da1?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w0OTc0Mzd8MHwxfHJhbmRvbXx8fHx8fHx8fDE2OTM4MDI4MTJ8&ixlib=rb-4.0.3&q=80&w=1080', 24, '1980-09-07 21:23:35', '2012-07-31 20:07:27');
